,Age,Parch,Pclass,SibSp,familyNum,TickCot,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty
0,22.0,0,3,1,2,1,0,0,1,0,0,0
1,38.0,0,1,1,2,2,0,0,0,1,0,0
2,26.0,0,3,0,1,1,0,1,0,0,0,0
3,35.0,0,1,1,2,2,0,0,0,1,0,0
4,35.0,0,3,0,1,1,0,0,1,0,0,0
5,,0,3,0,1,1,0,0,1,0,0,0
6,54.0,0,1,0,1,2,0,0,1,0,0,0
7,2.0,1,3,3,5,5,1,0,0,0,0,0
8,27.0,2,3,0,3,3,0,0,0,1,0,0
9,14.0,0,2,1,2,2,0,0,0,1,0,0
10,4.0,1,3,1,3,3,0,1,0,0,0,0
11,58.0,0,1,0,1,1,0,1,0,0,0,0
12,20.0,0,3,0,1,1,0,0,1,0,0,0
13,39.0,5,3,1,7,7,0,0,1,0,0,0
14,14.0,0,3,0,1,1,0,1,0,0,0,0
15,55.0,0,2,0,1,1,0,0,0,1,0,0
16,2.0,1,3,4,6,6,1,0,0,0,0,0
17,,0,2,0,1,1,0,0,1,0,0,0
18,31.0,0,3,1,2,2,0,0,0,1,0,0
19,,0,3,0,1,1,0,0,0,1,0,0
20,35.0,0,2,0,1,2,0,0,1,0,0,0
21,34.0,0,2,0,1,1,0,0,1,0,0,0
22,15.0,0,3,0,1,1,0,1,0,0,0,0
23,28.0,0,1,0,1,1,0,0,1,0,0,0
24,8.0,1,3,3,5,5,0,1,0,0,0,0
25,38.0,5,3,1,7,7,0,0,0,1,0,0
26,,0,3,0,1,1,0,0,1,0,0,0
27,19.0,2,1,3,6,6,0,0,1,0,0,0
28,,0,3,0,1,1,0,1,0,0,0,0
29,,0,3,0,1,1,0,0,1,0,0,0
30,40.0,0,1,0,1,1,0,0,0,0,0,1
31,,0,1,1,2,3,0,0,0,1,0,0
32,,0,3,0,1,1,0,1,0,0,0,0
33,66.0,0,2,0,1,1,0,0,1,0,0,0
34,28.0,0,1,1,2,2,0,0,1,0,0,0
35,42.0,0,1,1,2,2,0,0,1,0,0,0
36,,0,3,0,1,1,0,0,1,0,0,0
37,21.0,0,3,0,1,1,0,0,1,0,0,0
38,18.0,0,3,2,3,2,0,1,0,0,0,0
39,14.0,0,3,1,2,2,0,1,0,0,0,0
40,40.0,0,3,1,2,1,0,0,0,1,0,0
41,27.0,0,2,1,2,2,0,0,0,1,0,0
42,,0,3,0,1,1,0,0,1,0,0,0
43,3.0,2,2,1,4,4,0,1,0,0,0,0
44,19.0,0,3,0,1,1,0,1,0,0,0,0
45,,0,3,0,1,1,0,0,1,0,0,0
46,,0,3,1,2,2,0,0,1,0,0,0
47,,0,3,0,1,1,0,1,0,0,0,0
48,,0,3,2,3,3,0,0,1,0,0,0
49,18.0,0,3,1,2,2,0,0,0,1,0,0
50,7.0,1,3,4,6,7,1,0,0,0,0,0
51,21.0,0,3,0,1,1,0,0,1,0,0,0
52,49.0,0,1,1,2,3,0,0,0,1,0,0
53,29.0,0,2,1,2,2,0,0,0,1,0,0
54,65.0,1,1,0,2,2,0,0,1,0,0,0
55,,0,1,0,1,1,0,0,1,0,0,0
56,21.0,0,2,0,1,1,0,1,0,0,0,0
